                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 2.5324,                 1.4286,                 1.8115,                0.64082,                0.83767,                0.77968,                0.52306,                 2.3728,                 1.8726,                 1.8068,              0.0014139,              0.0014139,              0.0014139
                     48,                 2.6986,                 1.5087,                 1.7916,                0.64082,                0.83767,                0.77968,                0.52306,                 2.3728,                 1.8726,                 1.8068,              0.0014084,              0.0014084,              0.0014084
                     49,                 2.7796,                 1.5052,                 1.7744,                 0.7178,                0.71828,                0.76266,                0.53004,                 2.3359,                  2.001,                 1.8121,              0.0014029,              0.0014029,              0.0014029
                     50,                 2.5602,                 1.6428,                 1.7636,                 0.7178,                0.71828,                0.76266,                0.53004,                 2.3359,                  2.001,                 1.8121,              0.0013974,              0.0013974,              0.0013974
                     51,                  2.661,                 1.5353,                 1.7815,                0.75662,                0.72942,                0.80542,                0.54361,                 2.5432,                 1.8203,                 1.8539,              0.0013919,              0.0013919,              0.0013919
                     52,                 2.5059,                 1.4112,                 1.7468,                0.71783,                  0.863,                0.80502,                 0.5417,                 2.4736,                 2.1448,                 1.8413,              0.0013864,              0.0013864,              0.0013864
                     53,                 2.5218,                 1.4177,                 1.7558,                0.71783,                  0.863,                0.80502,                 0.5417,                 2.4736,                 2.1448,                 1.8413,              0.0013809,              0.0013809,              0.0013809
                     54,                 2.5521,                 1.4717,                 1.7656,                0.61684,                0.93512,                0.75916,                0.50262,                 2.4763,                  2.504,                 1.8456,              0.0013754,              0.0013754,              0.0013754
                     55,                  2.601,                 1.6677,                 1.8393,                 0.6224,                0.89889,                0.76063,                0.49457,                 2.4329,                 2.2102,                 1.8274,              0.0013699,              0.0013699,              0.0013699
                     56,                 2.4575,                 1.2947,                 1.7825,                 0.6224,                0.89889,                0.76063,                0.49457,                 2.4329,                 2.2102,                 1.8274,              0.0013644,              0.0013644,              0.0013644
                     57,                 2.5344,                 1.3299,                 1.7443,                  0.692,                0.91785,                 0.7855,                 0.5075,                 2.4917,                 1.8289,                 1.8297,              0.0013589,              0.0013589,              0.0013589
                     58,                 2.5883,                 1.3991,                 1.7312,                  0.692,                0.91785,                 0.7855,                 0.5075,                 2.4917,                 1.8289,                 1.8297,              0.0013534,              0.0013534,              0.0013534
                     59,                 2.6376,                 1.4314,                 1.7462,                0.71418,                0.88105,                0.78247,                0.52482,                 2.3927,                 1.7788,                 1.8016,              0.0013479,              0.0013479,              0.0013479
                     60,                 2.4909,                 1.3625,                  1.762,                0.71482,                0.92603,                0.79586,                0.54108,                 2.3451,                 1.8023,                 1.7947,              0.0013424,              0.0013424,              0.0013424
                     61,                 2.4802,                  1.415,                 1.7812,                0.71482,                0.92603,                0.79586,                0.54108,                 2.3451,                 1.8023,                 1.7947,              0.0013369,              0.0013369,              0.0013369
                     62,                 2.4874,                 1.2615,                 1.7517,                0.70508,                0.91454,                0.79959,                0.54222,                 2.4143,                 1.8449,                 1.8155,              0.0013314,              0.0013314,              0.0013314
                     63,                 2.4987,                 1.3409,                  1.732,                 0.6648,                0.93294,                0.79361,                0.53876,                 2.3897,                 2.0314,                 1.8103,              0.0013259,              0.0013259,              0.0013259
                     64,                 2.3853,                 1.2278,                 1.7481,                 0.6648,                0.93294,                0.79361,                0.53876,                 2.3897,                 2.0314,                 1.8103,              0.0013204,              0.0013204,              0.0013204
                     65,                 2.4087,                 1.4214,                 1.7225,                0.67368,                0.87756,                0.75136,                0.50622,                 2.3844,                 2.1226,                  1.811,              0.0013149,              0.0013149,              0.0013149
                     66,                 2.4174,                 1.3146,                 1.7428,                0.67368,                0.87756,                0.75136,                0.50622,                 2.3844,                 2.1226,                  1.811,              0.0013094,              0.0013094,              0.0013094
                     67,                 2.5052,                 1.3497,                  1.741,                0.65047,                0.87568,                0.73017,                 0.4935,                 2.3592,                 2.0796,                 1.8072,              0.0013039,              0.0013039,              0.0013039
                     68,                 2.5146,                 1.3438,                 1.7249,                0.66015,                0.84775,                0.72889,                0.48448,                 2.4464,                 1.9649,                 1.8169,              0.0012984,              0.0012984,              0.0012984
                     69,                 2.4911,                 1.2785,                 1.7501,                0.66015,                0.84775,                0.72889,                0.48448,                 2.4464,                 1.9649,                 1.8169,              0.0012929,              0.0012929,              0.0012929
                     70,                 2.4507,                 1.4182,                 1.7297,                0.68313,                0.89486,                0.78515,                0.54467,                 2.3148,                 1.8316,                 1.7885,              0.0012874,              0.0012874,              0.0012874
                     71,                 2.4386,                 1.2745,                 1.7465,                0.63263,                0.79818,                0.78387,                0.53977,                 2.3192,                 2.0232,                 1.7898,              0.0012819,              0.0012819,              0.0012819
                     72,                  2.569,                 1.4383,                 1.7125,                0.63263,                0.79818,                0.78387,                0.53977,                 2.3192,                 2.0232,                 1.7898,              0.0012764,              0.0012764,              0.0012764
                     73,                 2.5088,                 1.3734,                 1.7452,                0.67431,                0.74207,                0.78879,                0.54028,                 2.3247,                 2.1494,                 1.7933,              0.0012709,              0.0012709,              0.0012709
                     74,                 2.4618,                 1.4572,                 1.7504,                0.67431,                0.74207,                0.78879,                0.54028,                 2.3247,                 2.1494,                 1.7933,              0.0012654,              0.0012654,              0.0012654
                     75,                 2.3537,                 1.3209,                 1.7402,                0.70461,                0.78171,                0.81681,                0.54945,                 2.3941,                 1.9994,                 1.8034,              0.0012599,              0.0012599,              0.0012599
                     76,                 2.4315,                 1.4578,                 1.7845,                0.70296,                0.83205,                0.82858,                0.56659,                  2.351,                 1.8502,                 1.7954,              0.0012544,              0.0012544,              0.0012544
                     77,                 2.5256,                 1.2995,                 1.7804,                0.70296,                0.83205,                0.82858,                0.56659,                  2.351,                 1.8502,                 1.7954,              0.0012489,              0.0012489,              0.0012489
                     78,                  2.488,                 1.2994,                  1.767,                0.68315,                0.90189,                0.82517,                0.56411,                 2.3148,                 1.7641,                 1.7915,              0.0012434,              0.0012434,              0.0012434
                     79,                 2.4343,                 1.2529,                 1.7604,                0.67382,                0.91075,                0.81565,                0.55025,                 2.3577,                 1.8926,                 1.7995,              0.0012379,              0.0012379,              0.0012379
                     80,                 2.5682,                 1.3402,                 1.7955,                0.67382,                0.91075,                0.81565,                0.55025,                 2.3577,                 1.8926,                 1.7995,              0.0012324,              0.0012324,              0.0012324
                     81,                 2.2932,                 1.2197,                 1.7795,                0.67699,                0.93954,                0.82713,                0.56614,                 2.3267,                 1.9338,                 1.7966,              0.0012269,              0.0012269,              0.0012269
                     82,                 2.3227,                 1.2235,                 1.7296,                0.67699,                0.93954,                0.82713,                0.56614,                 2.3267,                 1.9338,                 1.7966,              0.0012214,              0.0012214,              0.0012214
                     83,                 2.3445,                 1.2752,                 1.7211,                0.69673,                0.93328,                0.82484,                0.56859,                 2.2685,                 1.8094,                 1.7876,              0.0012159,              0.0012159,              0.0012159
                     84,                 2.4316,                 1.2049,                 1.7215,                0.69786,                 0.8952,                0.78842,                0.50975,                 2.5052,                  1.812,                 1.8417,              0.0012104,              0.0012104,              0.0012104
                     85,                 2.4432,                 1.1852,                  1.703,                0.69786,                 0.8952,                0.78842,                0.50975,                 2.5052,                  1.812,                 1.8417,              0.0012049,              0.0012049,              0.0012049
                     86,                 2.4217,                 1.1913,                 1.7548,                0.71964,                0.89048,                 0.7704,                0.52747,                   2.32,                 1.7794,                 1.7966,              0.0011994,              0.0011994,              0.0011994
                     87,                 2.2814,                  1.294,                 1.7509,                0.67605,                0.89099,                0.78137,                 0.5409,                 2.2516,                  1.721,                 1.7728,              0.0011939,              0.0011939,              0.0011939
                     88,                 2.2973,                 1.2464,                 1.7078,                0.67605,                0.89099,                0.78137,                 0.5409,                 2.2516,                  1.721,                 1.7728,              0.0011884,              0.0011884,              0.0011884
                     89,                 2.4146,                 1.2108,                 1.7293,                0.67949,                0.92603,                0.81055,                0.56482,                 2.2997,                 1.6281,                 1.7852,              0.0011829,              0.0011829,              0.0011829
                     90,                 2.3702,                 1.2591,                 1.7556,                0.67949,                0.92603,                0.81055,                0.56482,                 2.2997,                 1.6281,                 1.7852,              0.0011774,              0.0011774,              0.0011774
                     91,                 2.4667,                 1.3325,                 1.7265,                0.69174,                0.90028,                0.76521,                0.51185,                 2.3716,                  1.861,                 1.7927,              0.0011719,              0.0011719,              0.0011719
