                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.86836,                0.53467,                0.92635,                0.82239,                0.92741,                 0.8957,                0.57226,                 1.1898,                0.64194,                 1.0493,              0.0013039,              0.0013039,              0.0013039
                     68,                 0.8729,                0.50422,                0.93139,                0.82212,                0.88327,                0.86925,                0.53336,                 1.2302,                0.66489,                 1.0455,              0.0012984,              0.0012984,              0.0012984
                     69,                0.89529,                0.47546,                 0.9251,                0.82212,                0.88327,                0.86925,                0.53336,                 1.2302,                0.66489,                 1.0455,              0.0012929,              0.0012929,              0.0012929
                     70,                0.85883,                0.48301,                0.89916,                0.82212,                0.88327,                0.86925,                0.53336,                 1.2302,                0.66489,                 1.0455,              0.0012874,              0.0012874,              0.0012874
                     71,                0.92203,                0.51499,                0.92738,                0.77109,                0.93296,                0.88111,                0.57855,                 1.1382,                0.63689,                 1.0247,              0.0012819,              0.0012819,              0.0012819
                     72,                0.89082,                0.51078,                0.93241,                0.77109,                0.93296,                0.88111,                0.57855,                 1.1382,                0.63689,                 1.0247,              0.0012764,              0.0012764,              0.0012764
                     73,                0.90039,                0.50011,                0.91239,                0.80994,                0.86427,                0.88234,                0.56987,                  1.141,                0.64148,                 1.0156,              0.0012709,              0.0012709,              0.0012709
                     74,                0.83252,                0.47441,                 0.9186,                0.80994,                0.86427,                0.88234,                0.56987,                  1.141,                0.64148,                 1.0156,              0.0012654,              0.0012654,              0.0012654
                     75,                0.85739,                0.50295,                0.91586,                0.80994,                0.86427,                0.88234,                0.56987,                  1.141,                0.64148,                 1.0156,              0.0012599,              0.0012599,              0.0012599
                     76,                0.84882,                0.49382,                0.93537,                0.81325,                0.87382,                0.87379,                0.53561,                 1.2704,                0.62316,                 1.0743,              0.0012544,              0.0012544,              0.0012544
                     77,                0.85589,                0.48406,                0.90034,                0.81325,                0.87382,                0.87379,                0.53561,                 1.2704,                0.62316,                 1.0743,              0.0012489,              0.0012489,              0.0012489
                     78,                0.86696,                0.49075,                0.89398,                0.81325,                0.87382,                0.87379,                0.53561,                 1.2704,                0.62316,                 1.0743,              0.0012434,              0.0012434,              0.0012434
                     79,                0.88226,                0.50498,                0.91611,                0.80898,                0.95699,                0.88145,                0.56347,                 1.2089,                0.62696,                  1.059,              0.0012379,              0.0012379,              0.0012379
                     80,                0.86337,                0.45093,                 0.9165,                0.80898,                0.95699,                0.88145,                0.56347,                 1.2089,                0.62696,                  1.059,              0.0012324,              0.0012324,              0.0012324
                     81,                 0.8475,                0.47729,                0.90315,                0.81446,                0.93354,                0.87607,                0.55233,                 1.2328,                0.61925,                 1.0521,              0.0012269,              0.0012269,              0.0012269
                     82,                 0.8662,                0.46486,                0.90775,                0.81446,                0.93354,                0.87607,                0.55233,                 1.2328,                0.61925,                 1.0521,              0.0012214,              0.0012214,              0.0012214
                     83,                0.85239,                0.46766,                0.90826,                0.81446,                0.93354,                0.87607,                0.55233,                 1.2328,                0.61925,                 1.0521,              0.0012159,              0.0012159,              0.0012159
                     84,                0.85716,                0.46941,                0.96234,                0.85767,                 0.8856,                 0.8751,                0.55122,                 1.2527,                0.60044,                 1.0562,              0.0012104,              0.0012104,              0.0012104
                     85,                0.81314,                0.43517,                 0.9031,                0.85767,                 0.8856,                 0.8751,                0.55122,                 1.2527,                0.60044,                 1.0562,              0.0012049,              0.0012049,              0.0012049
                     86,                0.86948,                0.47781,                0.93091,                0.85767,                 0.8856,                 0.8751,                0.55122,                 1.2527,                0.60044,                 1.0562,              0.0011994,              0.0011994,              0.0011994
                     87,                0.82004,                0.44593,                0.91311,                0.79948,                0.91082,                0.87915,                0.57066,                 1.1623,                0.60846,                 1.0274,              0.0011939,              0.0011939,              0.0011939
                     88,                0.82917,                0.44754,                0.90509,                0.79948,                0.91082,                0.87915,                0.57066,                 1.1623,                0.60846,                 1.0274,              0.0011884,              0.0011884,              0.0011884
                     89,                0.79485,                0.43403,                0.90646,                0.84437,                 0.8871,                0.86694,                 0.5431,                 1.1776,                0.64272,                 1.0383,              0.0011829,              0.0011829,              0.0011829
                     90,                0.83019,                0.45154,                0.91084,                0.84437,                 0.8871,                0.86694,                 0.5431,                 1.1776,                0.64272,                 1.0383,              0.0011774,              0.0011774,              0.0011774
                     91,                0.81046,                0.45003,                0.91448,                0.84437,                 0.8871,                0.86694,                 0.5431,                 1.1776,                0.64272,                 1.0383,              0.0011719,              0.0011719,              0.0011719
                     92,                0.80195,                0.44874,                0.88101,                0.84371,                0.87121,                0.87918,                0.59689,                 1.1127,                0.66087,                 1.0252,              0.0011664,              0.0011664,              0.0011664
                     93,                0.83868,                 0.4562,                0.89234,                0.84371,                0.87121,                0.87918,                0.59689,                 1.1127,                0.66087,                 1.0252,              0.0011609,              0.0011609,              0.0011609
                     94,                0.81673,                0.45022,                0.90401,                0.84371,                0.87121,                0.87918,                0.59689,                 1.1127,                0.66087,                 1.0252,              0.0011554,              0.0011554,              0.0011554
                     95,                0.75756,                0.43134,                0.89437,                0.82214,                0.89372,                0.88781,                0.60525,                 1.1254,                0.65107,                 1.0315,              0.0011499,              0.0011499,              0.0011499
                     96,                0.82885,                0.45228,                0.90144,                0.82214,                0.89372,                0.88781,                0.60525,                 1.1254,                0.65107,                 1.0315,              0.0011444,              0.0011444,              0.0011444
                     97,                0.78916,                0.42306,                0.89842,                0.82185,                0.91165,                0.85556,                 0.5391,                 1.2358,                 0.6366,                 1.0622,              0.0011389,              0.0011389,              0.0011389
                     98,                0.78886,                 0.4276,                0.91147,                0.82185,                0.91165,                0.85556,                 0.5391,                 1.2358,                 0.6366,                 1.0622,              0.0011334,              0.0011334,              0.0011334
                     99,                0.78181,                0.40083,                0.90409,                0.82185,                0.91165,                0.85556,                 0.5391,                 1.2358,                 0.6366,                 1.0622,              0.0011279,              0.0011279,              0.0011279
                    100,                0.78971,                0.42313,                0.87576,                0.80723,                0.92798,                0.89661,                0.59901,                 1.1444,                0.63448,                  1.043,              0.0011224,              0.0011224,              0.0011224
                    101,                0.75779,                0.43993,                0.89844,                0.80723,                0.92798,                0.89661,                0.59901,                 1.1444,                0.63448,                  1.043,              0.0011169,              0.0011169,              0.0011169
                    102,                0.77221,                0.42323,                0.90052,                0.80723,                0.92798,                0.89661,                0.59901,                 1.1444,                0.63448,                  1.043,              0.0011114,              0.0011114,              0.0011114
                    103,                0.76738,                 0.4331,                0.88753,                0.80058,                0.92929,                0.87885,                0.60165,                 1.1227,                 0.6303,                 1.0436,              0.0011059,              0.0011059,              0.0011059
                    104,                0.74618,                0.40273,                0.88744,                0.80058,                0.92929,                0.87885,                0.60165,                 1.1227,                 0.6303,                 1.0436,              0.0011004,              0.0011004,              0.0011004
                    105,                0.75833,                0.40743,                0.88917,                0.84305,                0.88172,                0.88148,                0.58662,                 1.1296,                0.63892,                  1.028,              0.0010949,              0.0010949,              0.0010949
                    106,                0.79007,                0.41461,                0.88024,                0.84305,                0.88172,                0.88148,                0.58662,                 1.1296,                0.63892,                  1.028,              0.0010894,              0.0010894,              0.0010894
                    107,                0.79275,                0.40461,                0.89561,                0.84305,                0.88172,                0.88148,                0.58662,                 1.1296,                0.63892,                  1.028,              0.0010839,              0.0010839,              0.0010839
                    108,                0.76162,                0.40743,                0.90841,                0.84329,                0.87634,                0.86188,                0.58682,                 1.1272,                0.67703,                 1.0303,              0.0010784,              0.0010784,              0.0010784
                    109,                0.73517,                0.40531,                0.86781,                0.84329,                0.87634,                0.86188,                0.58682,                 1.1272,                0.67703,                 1.0303,              0.0010729,              0.0010729,              0.0010729
                    110,                0.73528,                0.38768,                0.88171,                0.84329,                0.87634,                0.86188,                0.58682,                 1.1272,                0.67703,                 1.0303,              0.0010674,              0.0010674,              0.0010674
                    111,                0.73781,                0.40624,                0.87825,                0.79281,                0.88172,                0.85995,                0.56967,                 1.1756,                0.66314,                 1.0632,              0.0010619,              0.0010619,              0.0010619
                    112,                0.85299,                0.44116,                0.90381,                0.79281,                0.88172,                0.85995,                0.56967,                 1.1756,                0.66314,                 1.0632,              0.0010564,              0.0010564,              0.0010564
                    113,                0.82953,                 0.4199,                0.90625,                0.81281,                0.84904,                0.85496,                0.56685,                 1.1708,                0.69417,                  1.053,              0.0010509,              0.0010509,              0.0010509
                    114,                0.78295,                0.42956,                0.89126,                0.81281,                0.84904,                0.85496,                0.56685,                 1.1708,                0.69417,                  1.053,              0.0010454,              0.0010454,              0.0010454
                    115,                0.79646,                0.43715,                0.89226,                0.81281,                0.84904,                0.85496,                0.56685,                 1.1708,                0.69417,                  1.053,              0.0010399,              0.0010399,              0.0010399
                    116,                0.78385,                0.41012,                0.89971,                0.81937,                0.84973,                0.88091,                0.56299,                 1.1896,                0.63651,                 1.0356,              0.0010344,              0.0010344,              0.0010344
                    117,                0.86503,                0.41591,                0.91687,                0.81937,                0.84973,                0.88091,                0.56299,                 1.1896,                0.63651,                 1.0356,              0.0010289,              0.0010289,              0.0010289
                    118,                0.84165,                 0.4313,                0.90994,                0.81937,                0.84973,                0.88091,                0.56299,                 1.1896,                0.63651,                 1.0356,              0.0010234,              0.0010234,              0.0010234
